season_number,season_id,team_id,team_name,is_ai,league_id,league_level,position,points,played,won,drawn,lost,goals_for,goals_against,goal_difference,roster_count,avg_ovr,top8_ovr,max_ovr,contracts_signed,rookie_contracts,academy_signings,rookie_market_signings,free_market_signings,auto_fill_signings,wage_cap,wage_bill,wage_pressure_pct,balance,financial_health,overspend_level
2,36f5ca3e-dca4-4ffd-a253-1aad73c6e9d1,3611c1c7-91f0-4613-aaa5-3f05046a7cfd,金石为开,True,8b1656f4-7d18-4b1d-aebc-370c7d2d9fb7,4,8,10,14,2,4,8,13,26,-13,14,60.93,66.25,74,4,0,0,0,0,0,1600000.0,687449.0,42.97,6293231.49,A,none
2,36f5ca3e-dca4-4ffd-a253-1aad73c6e9d1,3689a578-7989-4145-80c8-239c51782ffa,祖母绿光,True,eb81a4ce-e24f-492d-917f-7b0ebba15a78,4,3,20,14,6,2,6,25,28,-3,13,62.62,66.38,73,7,0,0,0,0,0,1600000.0,691222.0,43.2,6340089.53,A,none
2,36f5ca3e-dca4-4ffd-a253-1aad73c6e9d1,36c5314f-4d79-4654-be87-9464aafb9690,宇宙巴萨,True,9367e21b-6e3a-4531-8dfb-0af639ae6a0d,2,4,21,14,6,3,5,42,30,12,14,69.93,77.25,91,5,0,0,0,0,0,3100000.0,1513356.0,48.82,8673313.77,A,none
2,36f5ca3e-dca4-4ffd-a253-1aad73c6e9d1,377ee383-a7cf-47f7-8718-3bc97b4813c7,华山剑客,True,37e412c4-f66b-421e-b6ab-73ffbe132649,4,1,33,14,10,3,1,34,18,16,14,64.43,71.0,77,4,0,0,0,0,0,1600000.0,1045172.0,65.32,6029001.18,A,none
2,36f5ca3e-dca4-4ffd-a253-1aad73c6e9d1,37cc4353-9dc6-4541-ad33-63c9fbca518f,克鲁格园,True,1124dfd9-90be-479e-a29f-a23303cd7902,4,2,21,14,5,6,3,20,18,2,15,64.33,68.88,85,3,0,0,0,0,0,1600000.0,975351.0,60.96,5962488.53,A,none
2,36f5ca3e-dca4-4ffd-a253-1aad73c6e9d1,384f01a0-83ea-4923-b450-d4672f0661fe,刚果王国,True,822ee6f8-be94-43c1-8460-850fe5293ff6,4,5,16,14,5,1,8,24,26,-2,15,59.47,64.25,78,7,0,0,0,0,0,1600000.0,688964.0,43.06,6437079.48,A,none
2,36f5ca3e-dca4-4ffd-a253-1aad73c6e9d1,389f1e5e-36a4-4017-a979-387a050ce412,伊斯法罕,True,0ffb4d3f-f9b6-4842-89bd-f17abe7c33e0,4,3,23,14,7,2,5,25,22,3,15,64.33,69.5,77,4,0,0,0,0,0,1600000.0,968915.0,60.56,5964593.18,A,none
2,36f5ca3e-dca4-4ffd-a253-1aad73c6e9d1,38b4ca23-fcd0-4146-b82e-d14302fc77d5,辛巴达航,True,ae1face9-61aa-4db8-8abd-3463c41992ac,1,8,9,14,1,6,7,24,35,-11,15,74.53,82.5,90,6,0,0,0,0,0,4200000.0,2005343.0,47.75,15454870.35,A,none
2,36f5ca3e-dca4-4ffd-a253-1aad73c6e9d1,3b2eeeaf-91a3-4139-96c7-9d9a3c506324,草原猎鹰,True,a8fde632-9f65-467d-bc44-32641788bb66,3,8,5,14,0,5,9,19,34,-15,14,67.29,72.88,82,5,0,0,0,0,0,2250000.0,1078326.0,47.93,9432189.67,A,none
2,36f5ca3e-dca4-4ffd-a253-1aad73c6e9d1,3cc08543-1d2e-45a9-a1a4-2bfc049ceae3,阿里巴巴,True,d0849cc4-a873-4461-bd7f-b6932ad21180,4,1,33,14,11,0,3,40,19,21,14,63.93,68.38,79,7,0,0,0,0,0,1600000.0,848511.0,53.03,6292009.91,A,none
